X,environment,train_name,injured,killed,triggering_factor,time,railway_division,cause,env
1,open rail track|over 2000 attackers,Sabarmati Express,43,58,attack by a mob at Godhra station in Gujarat and four coaches were set on fire,27-02-2002 08:30,w,attack,open
2,open rail track,Shramjeevi Express,80,12, crash occurred when sabotage derailed the Shramjeevi express at Jaunpur,13-05-2002 03:00,n,attack,open
3,collision on a manned level crossing,Kanpur Kasganj Express,29,49,Express collided with a passenger bus near the town of Kasganj,04-06-2002 13:00,ne,unclear track,busy
4,natural on a bridge over Dhave river,Howrah-Rajdhani Express,150,140,derailed on a bridge between Gaya and Dehri-on-Sone stations|with two coaches falling into a river|terrorist sabotage was blamed,09-09-2002 22:40,ec,attack,water
5,open rail track,Golden Temple Mail,15,36,three coaches caught fire,15-05-2003 03:15,n,fire,open
6,inclement weather,Matsyagandha(Mangalore-Mumbai) Express,62,14,derailed when it struck a boulder on the line,16-06-2004 05:00,k,unclear track,natural
7,open rail track,Jammu Tawi Passenger,50,37,The accident was allegedly caused due to a fault in the telephone line|preventing proper signal warnings,14-12-2004 11:45,n,human error,open
8,open rail track,Shramjeevi Express,50,13,engine was halted immediately and derailment was prevented,28-07-2005 17:15,n,attack,open
9,open rail track,Gwalior-bound Bundelkhand Express,100,16,derailed after brake failure,03-10-2005 03:00,nc,technical,open
10,area affected by heavy naturals,Island Express,0,0,the incident led to major tnaturals on Bangalore-Chennai route being cancelled for a few days,25-10-2005 21:30,sw,natural,natural
11,the area was lashed by monsoon naturals for several weeks,Delta Fast Passenger ,200,114,derailed where a small rail bridge had been swept away by a flash flood|near the town of Valigonda,29-10-2005 04:00,sc,natural,natural
12,several routes' tnaturals got bombed,various|others,714,209,series of 7 bomb blasts continued for 11 minutes,11-07-2006 18:24,c,attack,parallel tracks
13,old overbridge collapsed,Howrah-Jamalpur Superfast Passenger,17,35,concrete fell form bridge and killed many passengers in sleeper compartment,01-12-2006 08:00,e,technical,bad track
14,open rail track,The Delhi—Lahore Samjhauta Express,NA,NA,,18-02-2007 23:53,n,attack,open
15,Kesamudram station,Gowthami Express,NA,40,a short circuit could have caused the fire,01-08-2008 02:00,sc,fire,station
16,open rail track|with fields around,Coromandel Express,140,15,tnatural was running at high speed,13-02-2009 19:50,nw,human error,open
17,multiple collisions with vehicles in way,others,11,4,unknown person hijacked the tnatural and drove it at high speed,29-04-2009 04:50,s,attack,busy
18,open rail track,Goa Express,15,22,,20-10-2009 05:00,nc,human error,open
19,single line,Mysore-Ajmer Express,5,0,incessant natural delayed the rescue operations,11-11-2009 19:15,c,natural,open
20,open rail track,Jodhpur-Delhi Mandore Express,20,7,Following the derailment|a portion of the tracks pierced the AC compartment and probably hit the passengers|they said,14-11-2009 01:30,n,unknown,open
21,stationary tnatural on track,Delhi-Sitamarhi Lichchavi Express,10,5,natural was the reason|a series of accidents happened in Uttar Pradesh on the same day,02-01-2010 08:15,nc,natural,busy
22,stationary tnatural on track,Bhiwani-Gorakhpur Gorakhdam Express,51,10,natural was the reason,02-01-2010 09:00,nc,natural,busy
23,tractor trolley on track,Saryu Express,2,0,natural was the reason,02-01-2010 11:00,n,natural,busy
24,,Arunachal Pradesh Express,0,0,,03-01-2010 08:15,nef,unknown,open
25,natural near Nitwali-Tundla crossing,Kalindi Express,15,3,natural,16-01-2010 08:15,nc,natural,others
26,Barha railway crossing|police station area,Lucknow-Sultanpur Harihar Nath Express,4,2,happened when tnatural hit the car at unmanned level crossing,17-01-2010 13:00,n,human error,busy
27,open rail track,goods tnatural|Freight,0,0,,22-01-2010 09:00,ne,unknown,open
28,busy route got halted|parallel tracks,Guwahati bound Rajdhani Express,11,0,,25-05-2010 06:40,ec,attack,busy
29,Maoist area remove part of the railway track,Lokmanya Tilak Terminus Jnaneswari Super Deluxe Express,200,148,first explosion|then  an oncoming goods collided|killing 141 passengers,28-05-2010 01:30,se,attack,bad track
